prov_code,bank_number,prov_area,bank_density
11,4513,"16,406",0.275082287
12,3037,"11,917",0.254846018
13,11861,"188,545",0.062908059
14,7189,"156,698",0.045878058
15,5645,"1,145,499",0.004927983
21,9257,"148,379",0.062387535
22,5298,"191,202",0.027708915
23,6235,"452,538",0.013777848
31,4107,"8,359",0.491326714
32,13597,"106,600",0.127551595
33,13523,"105,506",0.128172805
34,8395,"140,140",0.059904381
35,6640,"123,951",0.053569556
36,7066,"166,936",0.042327599
37,15606,"157,901",0.09883408
41,12979,"165,664",0.078345325
42,7844,"185,937",0.042186332
43,9790,"211,836",0.046214997
44,16679,"179,656",0.092838536
45,6788,"237,606",0.028568302
46,1588,"35,177",0.045143133
50,5713,"82,374",0.069354408
51,14218,"486,116",0.029248163
52,5334,"176,099",0.03028978
53,5536,"383,186",0.014447292
54,741,"1,202,189",0.000616376
61,7245,"205,624",0.035234214
62,4665,"425,889",0.010953558
63,1119,"696,647",0.001606265
64,1334,"51,893",0.025706743
65,3749,"1,631,585",0.002297766